[[[3], [2], [6], [1], [6], [2], [0]], [3, 2, 6, 6, 1, 1, 2], [[0], [0], [1], [0], [0], [1], [0]], [53, 25, 21, 15, 12, 23, 1], 0.9997780246401766]
[[[3], [2], [6], [6], [0], [1], [2]], [3, 2, 6, 6, 1, 1, 2], [[0], [0], [2], [0], [0], [0], [1]], [30, 21, 25, 17, 11, 29, 0], 0.9998020196007064]
[[[3], [6], [2], [6], [1], [0], [2]], [3, 2, 6, 6, 1, 1, 2], [[1], [1], [0], [1], [0], [1], [1]], [51, 22, 15, 36, 14, 37, 2], 0.9997420332791378]
[[[2], [3], [6], [6], [1], [2], [0]], [3, 3, 6, 6, 1, 1, 2], [[0], [0], [1], [1], [1], [1], [0]], [51, 23, 21, 44, 16, 37, 2], 0.999715040608642]
[[[2], [3], [6], [6], [0], [1], [2]], [3, 3, 6, 6, 1, 1, 2], [[1], [0], [0], [1], [1], [0], [1]], [30, 18, 31, 20, 13, 27, 1], 0.9997960208065853]
[[[3], [6], [2], [6], [1], [0], [2]], [3, 2, 2, 6, 1, 1, 2], [[1], [1], [0], [1], [0], [1], [1]], [30, 30, 21, 19, 10, 29, 2], 0.9997960208065853]
[[[6], [2], [3], [6], [1], [0], [2]], [3, 2, 6, 6, 6, 1, 2], [[0], [0], [1], [1], [1], [0], [1]], [51, 22, 13, 63, 19, 32, 1], 0.999704543655825]
[[[3], [2], [0], [6], [6], [1], [2]], [2, 2, 6, 6, 1, 1, 2], [[1], [1], [1], [0], [0], [0], [2]], [47, 23, 14, 63, 18, 26, 0], 0.9997150406086422]
[[[3], [6], [2], [6], [1], [2], [0]], [3, 2, 6, 6, 1, 1, 2], [[1], [0], [0], [1], [0], [2], [0]], [51, 22, 13, 34, 16, 34, 1], 0.9997495313725053]
[[[2], [3], [6], [6], [1], [0], [2]], [3, 3, 6, 6, 1, 1, 2], [[1], [0], [0], [2], [0], [1], [0]], [51, 24, 26, 40, 15, 31, 1], 0.9997240380844961]
[[[6], [2], [3], [6], [1], [0], [2]], [3, 2, 6, 6, 1, 1, 2], [[0], [0], [0], [1], [1], [0], [1]], [52, 22, 13, 46, 18, 38, 1], 0.999719539336447]
[[[3], [6], [2], [6], [1], [0], [2]], [2, 2, 6, 6, 1, 2, 2], [[1], [1], [0], [0], [0], [1], [0]], [47, 23, 14, 41, 16, 44, 1], 0.9997255376716782]
[[[0], [4], [3], [6], [6], [1], [2]], [4, 3, 6, 6, 1, 1, 2], [[1], [0], [0], [1], [1], [0], [1]], [19, 21, 56, 28, 13, 26, 2], 0.9997585291587778]
[[[2], [3], [6], [0], [6], [1], [2]], [2, 3, 6, 6, 6, 1, 2], [[1], [1], [0], [1], [1], [0], [1]], [47, 22, 19, 44, 25, 18, 2], 0.9997420332791381]
[[[3], [0], [2], [6], [6], [1], [2]], [3, 2, 6, 6, 1, 1, 2], [[1], [1], [0], [0], [0], [1], [1]], [30, 30, 35, 20, 9, 25, 1], 0.9997810239787494]
[[[2], [4], [6], [1], [0], [6], [2]], [4, 3, 6, 6, 1, 6, 2], [[1], [1], [0], [0], [0], [1], [1]], [20, 17, 45, 20, 15, 24, 1], 0.9997930214230218]
[[[3], [2], [6], [6], [1], [2], [0]], [3, 2, 6, 6, 1, 2, 2], [[1], [0], [1], [0], [0], [2], [0]], [53, 33, 20, 15, 10, 36, 1], 0.999754030255519]
[[[2], [6], [3], [6], [0], [1], [2]], [3, 3, 6, 6, 6, 1, 2], [[0], [1], [0], [2], [0], [0], [1]], [51, 23, 14, 59, 19, 24, 1], 0.9997195393364471]
[[[2], [3], [0], [6], [6], [1], [2]], [3, 3, 6, 6, 1, 1, 2], [[0], [1], [0], [0], [1], [1], [1]], [51, 23, 28, 49, 16, 25, 2], 0.9997150406086422]
[[[3], [2], [0], [6], [6], [1], [2]], [3, 2, 6, 6, 1, 1, 2], [[0], [1], [0], [1], [0], [0], [2]], [53, 25, 23, 17, 11, 26, 1], 0.9997690266784455]
[[[2], [3], [0], [6], [6], [1], [2]], [2, 3, 6, 6, 1, 1, 2], [[1], [0], [1], [0], [0], [1], [1]], [47, 22, 15, 67, 17, 23, 2], 0.9997165401823278]
[[[2], [3], [6], [6], [1], [0], [2]], [3, 3, 6, 6, 1, 1, 2], [[0], [1], [0], [1], [1], [0], [1]], [51, 23, 28, 41, 16, 36, 1], 0.9997120414680191]
[[[3], [2], [6], [6], [1], [0], [2]], [3, 2, 6, 6, 1, 2, 2], [[0], [2], [0], [0], [0], [1], [0]], [53, 25, 26, 12, 11, 41, 2], 0.9997495313725053]
[[[2], [3], [6], [6], [1], [0], [2]], [3, 3, 6, 6, 1, 1, 2], [[0], [1], [0], [2], [0], [1], [1]], [51, 23, 28, 41, 15, 32, 1], 0.9997210389168808]
[[[0], [3], [2], [6], [1], [6], [2]], [3, 2, 6, 6, 1, 1, 2], [[0], [1], [0], [1], [0], [1], [1]], [30, 22, 32, 18, 10, 34, 1], 0.9997855230034801]
[[[2], [6], [3], [0], [6], [1], [2]], [3, 3, 6, 6, 6, 1, 2], [[0], [1], [0], [1], [1], [0], [1]], [51, 23, 14, 59, 24, 20, 2], 0.9997165401823277]
[[[2], [3], [6], [6], [1], [0], [2]], [3, 3, 6, 6, 1, 2, 2], [[0], [0], [2], [0], [0], [0], [1]], [30, 18, 27, 30, 13, 48, 1], 0.9997540302555191]
[[[3], [2], [6], [1], [6], [0], [2]], [3, 2, 6, 6, 1, 1, 2], [[1], [1], [0], [0], [1], [0], [1]], [30, 30, 25, 13, 14, 23, 2], 0.9998005198988017]
[[[4], [2], [6], [1], [6], [0], [2]], [3, 2, 6, 6, 1, 1, 2], [[0], [0], [1], [1], [0], [0], [1]], [49, 26, 25, 15, 12, 25, 2], 0.9997735256491884]
[[[3], [0], [2], [6], [6], [1], [2]], [3, 2, 6, 6, 1, 1, 2], [[1], [0], [0], [0], [1], [1], [1]], [53, 33, 29, 22, 11, 24, 2], 0.9997450325097367]
[[[0], [2], [3], [6], [6], [1], [2]], [3, 2, 6, 6, 1, 1, 2], [[0], [1], [0], [1], [0], [1], [1]], [30, 22, 23, 15, 19, 29, 0], 0.999796020806585]
[[[2], [3], [0], [6], [6], [1], [2]], [3, 3, 6, 6, 1, 1, 2], [[1], [0], [0], [1], [0], [1], [1]], [30, 18, 31, 33, 15, 24, 1], 0.9997780246401767]
[[[3], [2], [0], [6], [6], [1], [2]], [3, 2, 6, 6, 1, 1, 2], [[0], [1], [1], [0], [0], [1], [1]], [30, 21, 29, 20, 11, 29, 0], 0.9997930214230217]
[[[3], [6], [2], [6], [1], [0], [2]], [2, 2, 6, 6, 1, 2, 2], [[1], [0], [0], [1], [0], [1], [1]], [47, 23, 13, 38, 16, 38, 2], 0.9997405336672127]
[[[2], [3], [6], [6], [1], [0], [2]], [3, 3, 6, 6, 1, 2, 2], [[0], [0], [1], [0], [1], [1], [1]], [53, 22, 28, 21, 13, 40, 1], 0.9997390340575368]
[[[3], [6], [2], [0], [1], [6], [2]], [3, 2, 2, 6, 6, 1, 2], [[1], [1], [0], [0], [0], [1], [1]], [30, 30, 21, 19, 13, 30, 1], 0.9997900220484566]
[[[2], [3], [0], [6], [6], [1], [2]], [3, 3, 6, 6, 1, 1, 2], [[0], [1], [1], [0], [1], [0], [1]], [30, 18, 33, 38, 15, 29, 1], 0.9997600287976962]
